1girl,1个女性
sharp_teeth,鲨鱼牙|锯齿牙
red_necktie,红领带
white_socks,白袜子
cover_page,封面
blue_jacket,蓝色夹克
towel,毛巾
clenched_teeth,牙齿紧咬
shaded_face,阴沉脸
wind,风
goggles,护目镜
bike_shorts,紧身裤
casual,私服
otoko_no_ko,女装少年|伪娘
black_background,黑色背景
ground_vehicle,地面载具
brooch,胸针
head_wings,头上有翅膀
green_skirt,绿色的裙子
loafers,乐福鞋
gauntlets,护腕
elf,精灵
pink_panties,粉色内裤
no_pants,没穿着裤子和裙子
t-shirt,T恤
red_flower,红色的花
black_bra,黑色内衣
striped_panties,条纹内裤
multiple_tails,多条尾巴
building,建筑
wristband,腕带
shoulder_armor,肩甲
demon_horns,恶魔的角
kiss,吻|亲吻|接吻
fox_girl,狐娘
between_breasts,乳沟里
breast_press,挤压胸部
surprised,惊讶
single_thighhigh,只有一条腿有穿着
messy_hair,凌乱的头发
motion_lines,体现运动的线
hat_bow,带有蝴蝶结的帽子
sheath,刀鞘|护套
butterfly,蝴蝶
child,小孩
skirt_set,与上衣搭配的短裙|特制的裙子套装
black_socks,黑色袜子
ribbon_trim,缎带饰边
group_sex,群P|群交
third_eye,第三只眼
instrument,乐器
rabbit_tail,兔子尾巴
letterboxed,宽银幕格式
drooling,流口水
hakama,袴|腿衣
clenched_hand,握紧的手
box,箱子
sneakers,运动鞋
pale_skin,苍白的皮肤
sex_toy,性爱玩具
red_shirt,红色衬衫
red_footwear,红色鞋类
musical_note,音符
gem,宝石
horse_girl,马娘
fishnets,渔网
tassel,流苏
wet_clothes,湿衣服
side-tie_panties,侧边系带内裤
red_bowtie,红色领结
genderswap,性转
revealing_clothes,暴露的穿着
covering,遮盖的动作
facial,颜射
foreshortening,正前缩距透视法
candy,糖果
nature,大自然
adapted_costume,原设服装改编
anal,肛门|肛交|着衣肛交|骑乘位肛交
ear_piercing,穿耳洞
pink_dress,粉色连衣裙
steam,蒸汽
dog_ears,狗耳朵
star_(sky),星星(天空中的)
peaked_cap,类似警帽的帽子
demon_tail,恶魔尾巴
portrait,半身像
armband,腕标
scenery,风景
convenient_censoring,简单巧妙的打码
waist_apron,女服务员围裙
holding_gun,拿着枪
breath,呼吸
lace_trim,蕾丝镶边
night_sky,夜空
ejaculation,射精
china_dress,中国服饰
tokin_hat,头襟|兜巾
arms_behind_head,双手抱头
couch,沙发
interlocked_fingers,紧扣的双手
lace,蕾丝
veil,面纱
black_nails,黑色指甲
rope,绳
front-tie_top,从正面打结的衣物
bara,大叔
microphone,麦克风
bandaid,创可贴
male_pubic_hair,男性的阴毛
hakama_skirt,袴裙
bow_panties,带蝴蝶结的内裤
hand_fan,手风扇
white_apron,白色围裙
mole_under_mouth,嘴角有痣|美人痣
bridal_gauntlets,婚纱手套
strapless_dress,无肩带连衣裙
no_headwear,去掉了(原设有的)头饰
yaoi,㚻|BL|腐|腐向
mecha,机甲
glowing_eyes,发光的双眼
anger_vein,青筋
holding_cup,手持杯子
clothes_writing,印着字的T恤
bikini_top_only,仅比基尼顶部
white_ribbon,白色丝带
black_leotard,黑色连身衣
jingle_bell,铃铛
christmas,圣诞节
baseball_cap,棒球帽
breasts_apart,向两侧摊开的乳房
hair_flaps,在摆动的头发
string_bikini,系绳比基尼
hair_over_shoulder,披肩发
cum_on_breasts,射在胸上
torn_legwear,破损的裤袜
twin_drills,双钻头发型
straight_hair,直发
skin_tight,衣服很紧显露出身体曲线或肢体特征
yellow_background,黄色背景
web_address,网址
semi-rimless_eyewear,无上框眼镜
angry,发怒
hooded_jacket,连帽夹克
feathered_wings,羽翼
light_purple_hair,浅紫色的头发
motor_vehicle,机动载具
facing_viewer,面向镜头
cloak,斗篷
wolf_tail,狼尾巴
carrying,抱起
side_braid,披在一侧的单条辫子
corset,束腰
eyewear_on_head,眼镜别在头上
claws,爪
micro_bikini,迷你比基尼
red_nails,红色指甲
light_particles,光粒子
mary_janes,珍妮鞋
multiple_penises,阴茎包围网
pelvic_curtain,旗袍类衣物的前摆
knees_up,顶起双膝
red_background,红色背景
tareme,无辜的眼神|眼神柔弱
red_headwear,红色头饰
tentacles,触手
rifle,步枪
index_finger_raised,食指抬起
purple_dress,紫色连衣裙
smartphone,智能手机
beard,胡须
clothing_aside,衣服放在一边
vertical_stripes,竖条纹
single_horn,单侧长着角
bright_pupils,明亮的瞳孔
paizuri,乳交
grey_shirt,灰色上衣
multicolored_clothes,多色款衣服
strap_slip,衣物吊带滑落(导致走光)
red_neckerchief,红色的围巾
finger_to_mouth,手抵在嘴唇边
licking,舔
close-up,特写镜头
puffy_nipples,勃起的乳头
short_hair_with_long_locks,扎起或卷起一部分长发
striped_thighhighs,条纹长筒袜
extra_ears,四只耳朵
snow,雪|雪原
tsurime,吊梢眼
black_necktie,黑色领带
buckle,扣
androgynous,可男可女
scar_on_face,疤痕在脸上
french_braid,法式辫子
striped_legwear,条纹裤袜
white_border,白色边框
red_jacket,红色夹克
full_moon,满月
neck_bell,脖子铃
upskirt,从人的下方往上瞥
eye_contact,眼神交流
face,脸部
two-tone_background,双色调背景
forehead,额头
pom_pom_(clothes),小绒球(衣物挂件)
seiza,正坐
areola_slip,乳晕走光
yellow_bow,黄色的蝴蝶结
blue_bikini,蓝色比基尼
genderswap_(mtf),女体化
lens_flare,镜头光晕
pink_flower,粉红色的花
furry,毛茸茸|兽人
gift,礼物
armlet,臂章
pink_nails,粉色指甲
spikes,尖刺|带钉的
between_legs,(强调)两腿之间
pendant,吊坠
abyssal_ship,深渊船
wading,涉水
hand_on_own_face,把手放在自己脸上
side_slit,侧面有缝的服饰
1other,1个非人类
dual_persona,双重人格
handgun,手枪
desk,书桌
camisole,无袖紧身背心
masturbation,自慰
brown_gloves,棕色手套
alcohol,酒
plate,盘子
restrained,拘束
green_bow,绿色蝴蝶结
ribbed_sweater,棱纹毛衣
cross-laced_footwear,交叉系带鞋
after_sex,事后
broom,扫帚
handjob,手淫
faceless,没有脸部细节的
o-ring,带O型环的衣物
sleeves_rolled_up,卷起的袖子
skin_fang,把嘴的一部分画成虎牙状
curvy,展现魅力的姿势
santa_hat,圣诞帽
spoken_heart,会话气泡里带爱心
heavy_breathing,喘粗气
ball,球
maid_apron,女仆围裙
hair_scrunchie,发圈|发束
breast_hold,抱着胸部
drinking_glass,酒杯
eyeshadow,眼影
horse_tail,马尾
grey_skirt,灰色短裙
personification,拟人化
headwear_removed,头饰被摘下|摘下头饰
low_ponytail,低扎马尾
doujin_cover,同人封面
cowgirl_position,女上位
machinery,机械武装
forest,森林
dress_lift,掀起裙子
red_gloves,红色手套
clenched_hands,紧握的双手
tray,托盘
headset,头戴式耳机
highleg_leotard,高开衩的连身衣
partially_submerged,部分淹没
tanlines,驼色系
cropped_legs,只画了一部分腿
zipper,拉链
high_heel_boots,高跟靴
floating,浮动的|在漂浮的
smoke,烟
legs_up,双腿抬起
backlighting,逆光
wide_hips,沙漏型身材|安产型
pencil_skirt,短铅笔裙
fish,鱼
low-tied_long_hair,低扎长发
blue_headwear,蓝色头饰
single_glove,单手穿着手套
sweater_vest,毛衣背心
large_pectorals,大型胸部
hair_rings,飞仙髻
pink_skirt,粉色短裙
half_updo,女神式发型|公主辫
reflection,反射|倒映
flying,飞行
hood_up,戴起来的兜帽
spot_color,在黑白的画中特意少量使用一些颜色
panties_under_pantyhose,穿在裤袜里的内裤
nontraditional_miko,改款过的日本服饰
kemonomimi_mode,兽耳模式
sailor_dress,水手服款裙子
arm_behind_back,单手背到身后
freckles,雀斑
starry_sky,星空
clothed_sex,着衣性交
white_bra,白色胸罩
asymmetrical_legwear,不对称的裤子
holding_book,捧着书
happy_birthday,生日快乐
arm_at_side,单手垂放
tearing_up,要哭的表情
brown_background,棕色背景
colored_sclera,彩色巩膜
sleeves_past_fingers,袖子长过手指
red_bikini,红色比基尼
long_fingernails,长指甲
santa_costume,圣诞老人服装
strapless_leotard,无肩带连身衣
garter_belt,吊带袜的腰带
6+boys,6个以上的男性
dual_wielding,双持
cuffs,手铐
red-framed_eyewear,红框眼镜
hands,手|双手
rain,雨
blue_nails,蓝色指甲
fingering,指交
puffy_long_sleeves,蓬蓬的长袖
bubble,泡泡
epaulettes,肩章
innertube,泳圈
walking,走路
crossdressing,(变装)女装|男装|女装男子|女装
frilled_bikini,花边比基尼
ribbon-trimmed_sleeves,缎带饰边袖子
teacup,茶杯
halloween,万圣夜
naughty_face,下流的表情
out_of_frame,画里只有一部分
cropped_jacket,短夹克
contrapposto,对立式平衡
legs_apart,两腿分开
dragon_horns,龙角
thong,丁字内裤
cake,蛋糕
clothed_female_nude_male,穿着衣服的女性和裸男
arm_behind_head,单手托在脑后
oni_horns,鬼角
condom,避孕套
pink_ribbon,粉色丝带
short_ponytail,短马尾
bowl,碗
veins,静脉|血管凸起
curly_hair,卷发
hat_ornament,带有饰物的帽子
denim_shorts,牛仔短裤
rape,强奸|轮奸|凌辱
demon_wings,恶魔翅膀
black_wings,黑色翅膀
beads,珠子
green_background,绿色背景
white_pantyhose,白色连裤袜
black-framed_eyewear,黑框眼镜
purple_background,紫色背景
one-hour_drawing_challenge,一小时的绘画挑战
spread_pussy,掰开阴部|掰穴|掰开的阴部
knee_up,顶起膝盖
cumdrip,溢出的精液(已拔出)
school_bag,书包
lolita_fashion,洛丽塔时装
fur_collar,毛皮衣领
holding_phone,拿着手机
sun_hat,太阳帽
doggystyle,后入式
pauldrons,护肩
blue_shorts,蓝色短裤
empty_eyes,空洞的眼神
gym_uniform,体操服
black_sailor_collar,黑色水手领
spoken_ellipsis,会话气泡里带省略号
under-rim_eyewear,无上框眼镜
4boys,4个男性
long_legs,长腿
shiny_clothes,有光泽的衣服
toned,健壮的
pocket,口袋
goggles_on_head,头上别着护目镜
cum_in_mouth,口内射精
bulge,裆部隆起
outside_border,一部分画到了背景框外面
pink_shirt,粉色衬衫
jitome,轻蔑的眼神
hand_on_another's_head,手放在对方的头上
new_year,新年
topless_male,裸照男性
skull,骷髅
blue_flower,蓝色的花
crying_with_eyes_open,睁着眼落泪
purple_skirt,紫色裙子
monster,怪物
hand_in_own_hair,手挽自己的头发
sunset,日落
science_fiction,近未来|sf|科幻
green_dress,绿色连衣裙
outline,角色形象有描边
spear,矛
shield,盾
toenails,脚趾甲
futanari,扶她
alternate_breast_size,贫乳化|爆乳化
thighband_pantyhose,有腿环的裤袜
hands_on_hips,双手叉腰|双手搁在腰上
aged_up,老化
emphasis_lines,集中线
v_arms,拘谨的手势
meme,meme|模因
buruma,女式灯笼裤
light_blush,淡淡的腮红
female_masturbation,女性手淫
frilled_shirt_collar,花边衬衫领
frilled_apron,花边围裙
asymmetrical_hair,不对称的发型
o_o,o_o
tied_hair,扎好的头发
running,奔跑
breast_squeeze,从两侧挤胸
dog,狗
high-waist_skirt,高腰裙
striped_bikini,条纹比基尼
competition_swimsuit,赛用泳衣
long_skirt,长裙
animal_hands,动物手
white_sleeves,白色袖子
ice,冰
minigirl,迷你女孩
teddy_bear,泰迪熊
legs_together,双腿并拢
watch,手表
angel_wings,天使的翅膀
track_jacket,运动夹克
black_serafuku,黑色水手服
head_rest,枕着头|托着头
dog_tail,狗尾巴
ass_grab,抓着屁股
folded_ponytail,蜷起来的马尾
hat_removed,帽子被摘下|摘下帽子
turret,舰炮
bespectacled,戴眼镜的
mole_on_breast,乳房上有痣
blue_theme,蓝色
tress_ribbon,绺发发带
blue_footwear,蓝色鞋类
impossible_clothes,有不现实的包裹程度的衣服
popsicle,冰棒|棒冰
paw_pose,爪子姿势
gold_trim,金色镶边
white_skin,白色的皮肤
faceless_male,无脸部男性
pouch,(贴身的)小袋
ghost,幽灵
red_scarf,红色围巾
rabbit,兔子
blue_one-piece_swimsuit,蓝色的一件泳衣
shawl,披巾|披帛
poke_ball,精灵球
purple_bow,紫色蝴蝶结
white_pupils,白色瞳孔
single_earring,只一边戴着耳环
sarashi,裹胸布
plump,身材丰满的
brown_skirt,棕色短裙
knees_together_feet_apart,双膝并拢双脚分开
yukata,浴衣
hand_in_pocket,手插在口袋里
cigarette,香烟
bow_(weapon),弓
white_sailor_collar,白色水手领
hand_between_legs,手放在两腿之间
sheathed,戴着护套的|入鞘的
twins,双胞胎
hair_down,披下来的头发
age_difference,年龄差
drinking_straw,吸管
dragon_girl,龙娘
page_number,页码
upside-down,倒挂的
open_coat,敞开式外套
oni,鬼
black_belt,黑色腰带
serious,严肃的
high_collar,高领
jeans,牛仔裤
brown_pantyhose,棕色连裤袜
smirk,傻笑|得意的笑
military_hat,军帽
light_rays,光照
object_insertion,异物插入
injury,有伤的
thought_bubble,体现内心想法的会话气泡
brown_jacket,棕色夹克
mini_hat,迷你帽子
blue_panties,蓝色内裤
dakimakura_(medium),Dakimakura（中）
robe,礼袍
black_coat,黑色外套
pose,姿势
tabard,搭肩衫
yellow_ribbon,黄丝带
black_vest,黑色背心
sideburns,(男子的)鬓角
lollipop,棒棒糖
striped_shirt,条纹衬衫
hoop_earrings,环状耳环
butt_crack,股沟
yellow_shirt,黄色衬衫
pajamas,睡衣
patreon_username,有patreon用户名
bouncing_breasts,乳摇
crystal,矿石
circlet,头冠
lantern,灯笼
red_rose,红玫瑰
striped_bow,条纹蝴蝶结
contemporary,现代改编
missionary,正常位
wide-eyed,睁大眼睛
water_drop,水滴
chocolate,巧克力
ofuda,符纸
eyebrows_hidden_by_hair,眉毛被头发隐藏
top_hat,礼帽
braided_ponytail,麻花辫马尾
jumping,跳跃的
breastplate,胸甲
rock,岩石
oekaki,简朴的画作
hug_from_behind,从背后抱上来
threesome,3P
hairpin,一种发卡夹成的发型特征
outstretched_hand,伸出的手
white_shorts,白色短裤
blurry_foreground,前景模糊
handbag,手提包
partially_fingerless_gloves,部分无指手套
chopsticks,筷子
object_hug,抱着某物
